Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO","Female 0 - 4","Female 5 - 11","Female 12 - 17","Female 18 - 59","Female 60+","Female Other","Female Total","Male 0 - 4","Male 5 - 11","Male 12 - 17","Male 18 - 59","Male 60+","Male Other","Male Total",Total
2024,Hungary,"Venezuela (Bolivarian Republic of)",HUN,VEN,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
2024,Iceland,"Venezuela (Bolivarian Republic of)",ISL,VEN,0,0,0,0,0,628,628,0,0,0,0,0,751,751,1995
2024,India,"Venezuela (Bolivarian Republic of)",IND,VEN,0,0,0,10,0,0,10,0,0,0,0,0,0,0,10
2024,Ireland,"Venezuela (Bolivarian Republic of)",IRL,VEN,0,8,0,69,18,0,95,0,10,0,85,5,0,100,195
2024,Italy,"Venezuela (Bolivarian Republic of)",ITA,VEN,220,200,160,2261,111,0,2952,208,224,248,3999,51,0,4730,7682
2024,Luxembourg,"Venezuela (Bolivarian Republic of)",LUX,VEN,0,0,0,0,0,0,0,0,0,0,5,0,0,5,335
2024,Mexico,"Venezuela (Bolivarian Republic of)",MEX,VEN,544,1818,1291,14208,1224,0,19085,582,1913,1405,17987,696,0,22583,134126
2024,Malta,"Venezuela (Bolivarian Republic of)",MLT,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
2024,"Netherlands (Kingdom of the)","Venezuela (Bolivarian Republic of)",NLD,VEN,15,22,24,167,15,0,243,18,25,44,339,12,0,438,681
2024,Norway,"Venezuela (Bolivarian Republic of)",NOR,VEN,5,9,13,79,0,0,106,5,6,13,107,0,0,131,237
2024,"New Zealand","Venezuela (Bolivarian Republic of)",NZL,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2024,Panama,"Venezuela (Bolivarian Republic of)",PAN,VEN,109,2037,2167,23134,2687,0,30134,137,2105,2252,20551,1553,0,26598,57979
2024,Paraguay,"Venezuela (Bolivarian Republic of)",PRY,VEN,68,295,214,1863,39,5,2484,70,298,245,2463,13,0,3089,5580
2024,Peru,"Venezuela (Bolivarian Republic of)",PER,VEN,61234,70406,42664,380331,19424,0,574059,66001,78021,43557,364132,9445,0,561156,1662889
2024,Poland,"Venezuela (Bolivarian Republic of)",POL,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
2024,Portugal,"Venezuela (Bolivarian Republic of)",PRT,VEN,12,11,6,58,0,0,87,0,0,0,23,6,0,29,121
2024,"El Salvador","Venezuela (Bolivarian Republic of)",SLV,VEN,0,0,5,9,0,0,14,0,0,5,24,0,0,29,43
2024,Spain,"Venezuela (Bolivarian Republic of)",ESP,VEN,2157,2707,2674,33881,2377,0,43796,2249,2722,2650,32440,1187,0,41248,221390
2024,Suriname,"Venezuela (Bolivarian Republic of)",SUR,VEN,7,17,12,333,5,0,374,5,28,16,66,5,0,120,494
2024,Sweden,"Venezuela (Bolivarian Republic of)",SWE,VEN,0,0,0,26,5,9,40,0,0,0,32,5,5,42,100
2024,Switzerland,"Venezuela (Bolivarian Republic of)",CHE,VEN,0,16,12,62,5,23,118,0,10,10,73,5,19,117,235
2024,"Sint Maarten (Dutch part)","Venezuela (Bolivarian Republic of)",SXM,VEN,5,0,5,37,0,0,47,7,0,0,77,5,0,89,136
2024,"Trinidad and Tobago","Venezuela (Bolivarian Republic of)",TTO,VEN,193,1198,891,8880,178,0,11340,199,1218,875,7763,178,0,10233,29495
2024,Uruguay,"Venezuela (Bolivarian Republic of)",URY,VEN,48,362,269,1605,152,18360,20796,43,365,243,2051,77,17591,20370,41166
2024,"United States of America","Venezuela (Bolivarian Republic of)",USA,VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648202
2024,"Venezuela (Bolivarian Republic of)","Venezuela (Bolivarian Republic of)",VEN,VEN,19323,24825,35441,208317,19596,0,307502,19320,25058,32195,189573,16698,0,282844,590346
